employee_id,full_name,gender,age,date_of_birth,marital_status,education_level,domicile_city,domicile_province,hire_date,employment_status,department_id,job_id,manager_id,work_location,employee_type
1025,Gita Maulana,Female,43,1982-02-04,Single,Bachelor,Jakarta,DKI Jakarta,2014-08-17,Active,5,12,1005,Jakarta HQ,Permanent
1026,Doni Setiawan,Male,22,2003-01-11,Married,Diploma,Jakarta,DKI Jakarta,2024-06-20,Active,4,7,1004,Jakarta HQ,Contract
1027,Zaki Sinaga,Male,30,1995-03-14,Married,Master,Jakarta,DKI Jakarta,2024-10-11,Active,6,13,1006,Jakarta HQ,Permanent
1028,Leo Wardhana,Male,24,2001-04-28,Single,Master,Yogyakarta,DI Yogyakarta,2024-08-03,Active,2,5,1002,Remote,Contract
1029,Wahyu Ramadhan,Male,32,1993-01-28,Married,Master,Jakarta,DKI Jakarta,2017-07-13,Active,8,9,1008,Jakarta HQ,Permanent
1030,Eko Setiawan,Male,46,1979-11-17,Single,Bachelor,Jakarta,DKI Jakarta,2016-02-03,Active,5,12,1005,Remote,Intern
1031,Vino Sutanto,Male,38,1987-07-19,Married,Bachelor,Jakarta,DKI Jakarta,2019-06-26,Active,1,4,1001,Jakarta HQ,Contract
1032,Eko Sari,Male,27,1998-11-28,Married,Bachelor,Bandung,Jawa Barat,2025-06-01,Active,6,13,1006,Bandung Office,Permanent
1033,Larasati Harahap,Female,44,1981-07-18,Married,Bachelor,Jakarta,DKI Jakarta,2022-05-31,Active,5,12,1005,Jakarta HQ,Permanent
1034,Kirana Handayani,Female,44,1981-09-22,Single,Master,Jakarta,DKI Jakarta,2013-05-17,Active,1,4,1001,Jakarta HQ,Permanent
1035,Elsa Salim,Female,48,1977-11-19,Single,Bachelor,Bandung,Jawa Barat,2019-04-21,Active,1,4,1001,Bandung Office,Permanent
1036,Wahyu Siregar,Male,49,1976-01-18,Divorced,Bachelor,Bandung,Jawa Barat,2019-09-02,Active,1,4,1001,Bandung Office,Contract
1037,Lestari Anwar,Female,28,1997-12-28,Married,Bachelor,Jakarta,DKI Jakarta,2021-03-17,Active,8,9,1008,Jakarta HQ,Permanent
1038,Putri Setiawan,Female,27,1998-06-18,Single,Bachelor,Jakarta,DKI Jakarta,2025-08-23,Active,2,5,1002,Jakarta HQ,Permanent
1039,Cahyo Mahendra,Male,22,2003-10-13,Married,Master,Makassar,Sulawesi Selatan,2022-10-30,Active,4,7,1004,Jakarta HQ,Permanent
1040,Surya Sutanto,Male,29,1996-01-13,Divorced,Bachelor,Surabaya,Jawa Timur,2023-04-09,Active,6,13,1006,Surabaya Office,Contract
1041,Doni Maulana,Male,29,1996-03-02,Married,Bachelor,Jakarta,DKI Jakarta,2023-04-22,Active,4,7,1004,Jakarta HQ,Contract
1042,Krisna Anggraini,Male,27,1998-04-21,Single,Diploma,Surabaya,Jawa Timur,2025-10-12,Active,4,7,1004,Surabaya Office,Permanent
1043,Rangga Iskandar,Male,24,2001-10-20,Single,Bachelor,Makassar,Sulawesi Selatan,2025-08-10,Resigned,5,11,1005,Remote,Contract
1044,Wahyu Hartono,Male,27,1998-12-25,Married,Bachelor,Surabaya,Jawa Timur,2023-09-02,Resigned,3,2,1003,Surabaya Office,Permanent
1045,Hesti Ramadhan,Female,28,1997-06-21,Single,Master,Bandung,Jawa Barat,2022-08-16,Active,5,11,1005,Bandung Office,Permanent
1046,Novi Setiawan,Female,31,1994-04-27,Married,Bachelor,Yogyakarta,DI Yogyakarta,2024-06-12,Active,4,8,1004,Jakarta HQ,Permanent
1047,Yoga Kusuma,Male,31,1994-05-20,Single,Bachelor,Bekasi,Jawa Barat,2019-06-15,Active,7,10,1007,Jakarta HQ,Permanent
1048,Hesti Anwar,Female,38,1987-01-03,Single,Bachelor,Bandung,Jawa Barat,2020-07-12,Active,2,6,1002,Bandung Office,Permanent
1049,Faisal Setiawan,Male,39,1986-05-08,Married,Diploma,Jakarta,DKI Jakarta,2021-07-27,Active,10,18,1010,Jakarta HQ,Permanent
1050,Maya Rahmawati,Female,29,1996-06-06,Single,Bachelor,Tangerang,Banten,2022-10-26,Resigned,2,6,1002,Remote,Contract
1051,Adi Manurung,Male,44,1981-08-16,Married,Master,Jakarta,DKI Jakarta,2015-05-14,Active,5,12,1005,Remote,Permanent
1052,Mario Putri,Male,23,2002-04-04,Single,Bachelor,Surabaya,Jawa Timur,2022-07-10,Active,1,1,1001,Surabaya Office,Permanent
1053,Gita Permana,Female,25,2000-05-22,Single,Bachelor,Jakarta,DKI Jakarta,2025-08-13,Active,4,7,1004,Jakarta HQ,Permanent
1054,Winda Salim,Female,32,1993-11-08,Married,Master,Bandung,Jawa Barat,2018-07-25,Active,1,3,1001,Bandung Office,Permanent
1055,Mira Rahmawati,Female,44,1981-02-15,Single,High School,Makassar,Sulawesi Selatan,2018-04-11,Active,1,3,1001,Jakarta HQ,Permanent
1056,Oki Manurung,Male,35,1990-01-25,Married,Master,Jakarta,DKI Jakarta,2020-01-12,Active,2,6,1002,Jakarta HQ,Permanent
1057,Gladys Pangestu,Female,32,1993-06-11,Married,Master,Jakarta,DKI Jakarta,2023-08-12,Active,4,8,1004,Jakarta HQ,Permanent
1058,Hadi Cahyani,Male,34,1991-01-22,Married,Bachelor,Bandung,Jawa Barat,2016-03-12,Active,4,8,1004,Bandung Office,Permanent
1059,Erika Tanjung,Female,27,1998-01-21,Single,Bachelor,Tangerang,Banten,2022-07-03,Resigned,1,2,1001,Jakarta HQ,Contract
1060,Jelita Tanjung,Female,26,1999-09-23,Married,Bachelor,Semarang,Jawa Tengah,2023-04-04,Active,1,1,1001,Jakarta HQ,Contract
1061,Sari Wardhana,Female,27,1998-09-09,Married,Master,Surabaya,Jawa Timur,2025-06-10,Active,4,7,1004,Surabaya Office,Permanent
1062,Karina Mahendra,Female,33,1992-06-28,Single,Bachelor,Bekasi,Jawa Barat,2021-07-03,Active,4,8,1004,Jakarta HQ,Permanent
1063,Salsabila Susilo,Female,33,1992-01-05,Married,Bachelor,Yogyakarta,DI Yogyakarta,2016-05-18,Active,7,10,1007,Jakarta HQ,Permanent
1064,Rangga Sari,Male,35,1990-12-13,Single,Bachelor,Yogyakarta,DI Yogyakarta,2023-05-18,Active,3,2,1003,Jakarta HQ,Permanent
1065,Putri Rahmawati,Female,29,1996-12-03,Single,Bachelor,Surabaya,Jawa Timur,2021-09-13,Resigned,8,9,1008,Surabaya Office,Permanent
1066,Zaki Sutanto,Male,24,2001-04-17,Married,Bachelor,Tangerang,Banten,2022-01-17,Active,2,5,1002,Jakarta HQ,Permanent
1067,Reza Kusuma,Male,29,1996-05-22,Single,Bachelor,Medan,Sumatera Utara,2025-03-08,Active,4,7,1004,Medan Office,Permanent
1068,Farah Putri,Female,41,1984-07-28,Divorced,Bachelor,Jakarta,DKI Jakarta,2015-09-11,Active,5,12,1005,Jakarta HQ,Intern
1069,Yudi Anggraini,Male,50,1975-05-25,Married,Bachelor,Jakarta,DKI Jakarta,2019-05-07,Active,5,12,1005,Jakarta HQ,Permanent
1070,Salsabila Wijaya,Female,26,1999-08-02,Single,Diploma,Jakarta,DKI Jakarta,2023-08-27,Active,1,1,1001,Jakarta HQ,Permanent
1071,Ratih Halim,Female,44,1981-12-28,Single,Bachelor,Bandung,Jawa Barat,2017-09-06,Active,9,17,1009,Remote,Permanent
1072,Bambang Nugroho,Male,38,1987-09-04,Married,Master,Tangerang,Banten,2015-04-30,Active,3,3,1003,Jakarta HQ,Permanent
1073,Lestari Hidayat,Female,25,2000-11-03,Single,Doctorate,Depok,Jawa Barat,2022-06-01,Resigned,1,1,1001,Remote,Permanent
1074,Zaki Hutapea,Male,32,1993-10-24,Married,Bachelor,Tangerang,Banten,2022-04-04,Active,1,2,1001,Jakarta HQ,Permanent
1075,Zahra Ramadhan,Female,46,1979-09-21,Married,Bachelor,Jakarta,DKI Jakarta,2017-10-03,Terminated,1,4,1001,Jakarta HQ,Permanent
1076,Wisnu Hartono,Male,24,2001-10-07,Single,Diploma,Jakarta,DKI Jakarta,2025-01-22,Active,5,11,1005,Jakarta HQ,Contract
1077,Karina Kusuma,Female,38,1987-03-04,Single,Diploma,Jakarta,DKI Jakarta,2024-08-26,Active,1,2,1001,Jakarta HQ,Permanent
1078,Gladys Anwar,Female,27,1998-09-19,Married,Master,Bandung,Jawa Barat,2025-03-15,Resigned,6,13,1006,Bandung Office,Permanent
1079,Galih Cahyani,Male,28,1997-11-04,Single,Bachelor,Jakarta,DKI Jakarta,2022-03-20,Active,4,7,1004,Remote,Permanent
1080,Oka Siregar,Male,30,1995-08-17,Married,Bachelor,Jakarta,DKI Jakarta,2020-03-27,Active,4,8,1004,Jakarta HQ,Permanent
1081,Cantika Sari,Female,49,1976-07-14,Single,Master,Bandung,Jawa Barat,2021-05-26,Active,1,4,1001,Bandung Office,Permanent
1082,Zaki Maulana,Male,34,1991-01-19,Married,Bachelor,Jakarta,DKI Jakarta,2016-01-21,Active,7,10,1007,Remote,Contract
1083,Yuni Ramadhan,Female,36,1989-03-22,Single,Bachelor,Semarang,Jawa Tengah,2015-07-13,Active,6,14,1006,Jakarta HQ,Permanent
1084,Tania Setiawan,Female,22,2003-03-09,Married,Diploma,Jakarta,DKI Jakarta,2023-05-13,Active,4,7,1004,Jakarta HQ,Permanent
1085,Nadia Mahendra,Female,28,1997-08-11,Married,Master,Jakarta,DKI Jakarta,2024-04-26,Active,9,16,1009,Jakarta HQ,Permanent
1086,Sari Anwar,Female,28,1997-08-20,Single,Bachelor,Jakarta,DKI Jakarta,2022-04-04,Terminated,6,13,1006,Jakarta HQ,Permanent
1087,Bambang Nasution,Male,26,1999-01-07,Single,Bachelor,Surabaya,Jawa Timur,2023-07-17,Active,4,8,1004,Surabaya Office,Permanent
1088,Taufik Pangestu,Male,27,1998-07-28,Single,Bachelor,Bandung,Jawa Barat,2022-10-12,Resigned,1,2,1001,Bandung Office,Permanent
1089,Bagas Hidayat,Male,40,1985-10-15,Single,Diploma,Bandung,Jawa Barat,2017-09-19,Active,5,12,1005,Remote,Contract
1090,Kurnia Saputra,Male,30,1995-11-04,Single,Diploma,Jakarta,DKI Jakarta,2024-05-07,Active,6,13,1006,Jakarta HQ,Permanent
1091,Salsabila Saputra,Female,28,1997-11-16,Married,Bachelor,Surabaya,Jawa Timur,2021-01-18,Active,1,2,1001,Surabaya Office,Permanent
1092,Eko Halim,Male,33,1992-11-10,Single,Bachelor,Jakarta,DKI Jakarta,2020-10-05,Active,8,9,1008,Remote,Permanent
1093,Ika Mahendra,Female,29,1996-10-18,Married,Bachelor,Medan,Sumatera Utara,2025-03-16,Active,5,11,1005,Medan Office,Contract
1094,Fitri Lubis,Female,36,1989-03-02,Single,Master,Balikpapan,Kalimantan Timur,2021-03-23,Active,4,8,1004,Jakarta HQ,Permanent
1095,Salsabila Sari,Female,27,1998-06-04,Married,Master,Jakarta,DKI Jakarta,2022-04-19,Active,7,10,1007,Jakarta HQ,Permanent
1096,Umi Cahyani,Female,24,2001-10-23,Single,Bachelor,Bekasi,Jawa Barat,2025-05-27,Active,4,7,1004,Jakarta HQ,Contract
1097,Dinda Lubis,Female,41,1984-01-12,Single,Doctorate,Makassar,Sulawesi Selatan,2018-08-03,Active,10,18,1010,Jakarta HQ,Permanent
1098,Krisna Siregar,Male,22,2003-11-11,Married,Master,Jakarta,DKI Jakarta,2024-04-23,Active,2,5,1002,Jakarta HQ,Permanent
1099,Putri Anwar,Female,39,1986-12-26,Married,Master,Bekasi,Jawa Barat,2015-07-08,Active,1,3,1001,Jakarta HQ,Permanent
1100,Teguh Mahendra,Male,48,1977-03-27,Single,Master,Yogyakarta,DI Yogyakarta,2019-08-25,Active,9,17,1009,Remote,Permanent
1101,Kurnia Setiawan,Male,29,1996-09-05,Single,High School,Makassar,Sulawesi Selatan,2022-09-17,Active,4,7,1004,Jakarta HQ,Permanent
1102,Farhan Iskandar,Male,25,2000-01-11,Married,Bachelor,Surabaya,Jawa Timur,2025-05-14,Active,4,7,1004,Remote,Permanent
1103,Fitri Lestari,Female,38,1987-04-27,Married,Bachelor,Makassar,Sulawesi Selatan,2020-01-27,Active,6,14,1006,Jakarta HQ,Permanent
1104,Hendra Nasution,Male,34,1991-01-21,Married,Bachelor,Jakarta,DKI Jakarta,2016-01-14,Active,2,6,1002,Remote,Permanent
1105,Zaki Saputra,Male,30,1995-09-17,Single,Bachelor,Yogyakarta,DI Yogyakarta,2025-04-16,Active,5,11,1005,Remote,Permanent
1106,Rina Ramadhan,Female,38,1987-10-24,Single,Bachelor,Jakarta,DKI Jakarta,2019-08-27,Active,1,2,1001,Jakarta HQ,Permanent
1107,Elsa Salim,Female,22,2003-05-07,Single,Master,Yogyakarta,DI Yogyakarta,2025-07-22,Active,6,13,1006,Jakarta HQ,Permanent
1108,Dimas Sari,Male,30,1995-02-26,Single,Master,Yogyakarta,DI Yogyakarta,2022-03-24,Active,1,2,1001,Jakarta HQ,Permanent
1109,Dinda Handayani,Female,32,1993-10-27,Single,Bachelor,Jakarta,DKI Jakarta,2022-01-27,Active,4,8,1004,Remote,Permanent
1110,Candra Pangestu,Male,48,1977-05-21,Married,Diploma,Tangerang,Banten,2022-09-25,Active,1,4,1001,Jakarta HQ,Permanent
1111,Eko Hartono,Male,38,1987-11-12,Single,Bachelor,Makassar,Sulawesi Selatan,2019-04-21,Active,7,10,1007,Remote,Permanent
1112,Bambang Hidayat,Male,36,1989-05-08,Married,Bachelor,Surabaya,Jawa Timur,2023-10-20,Active,1,2,1001,Surabaya Office,Permanent
1113,Hesti Santoso,Female,27,1998-03-28,Married,Master,Jakarta,DKI Jakarta,2024-03-15,Active,4,8,1004,Jakarta HQ,Intern
1114,Teguh Putri,Male,24,2001-12-23,Single,Bachelor,Bandung,Jawa Barat,2024-04-30,Active,5,11,1005,Remote,Permanent
1115,Leo Maulana,Male,35,1990-02-03,Married,Master,Balikpapan,Kalimantan Timur,2020-04-13,Active,4,8,1004,Jakarta HQ,Permanent
1116,Yudi Siregar,Male,27,1998-03-27,Single,Diploma,Bandung,Jawa Barat,2024-08-27,Resigned,9,16,1009,Bandung Office,Permanent
1117,Jefri Rahmawati,Male,23,2002-05-07,Married,Bachelor,Depok,Jawa Barat,2023-08-30,Resigned,2,5,1002,Jakarta HQ,Permanent
1118,Mira Wijaya,Female,30,1995-02-02,Married,High School,Jakarta,DKI Jakarta,2017-01-12,Active,1,3,1001,Jakarta HQ,Contract
1119,Yudi Cahyani,Male,30,1995-08-03,Single,Diploma,Jakarta,DKI Jakarta,2019-10-04,Active,4,8,1004,Jakarta HQ,Contract
1120,Indah Iskandar,Female,34,1991-09-04,Single,Bachelor,Bandung,Jawa Barat,2019-07-03,Active,2,6,1002,Bandung Office,Permanent
1121,Kirana Hidayat,Female,27,1998-04-25,Married,Diploma,Balikpapan,Kalimantan Timur,2024-02-20,Active,5,11,1005,Jakarta HQ,Permanent
1122,Yoga Anggraini,Male,22,2003-05-16,Married,Bachelor,Bekasi,Jawa Barat,2022-06-09,Active,4,7,1004,Jakarta HQ,Permanent
1123,Leo Santoso,Male,31,1994-09-10,Divorced,Bachelor,Bandung,Jawa Barat,2024-04-18,Active,3,15,1003,Bandung Office,Permanent
1124,Wisnu Simanjuntak,Male,46,1979-03-07,Married,Master,Bandung,Jawa Barat,2013-02-17,Resigned,9,17,1009,Remote,Permanent
1125,Pandu Hidayat,Male,28,1997-07-20,Married,Bachelor,Bandung,Jawa Barat,2022-05-14,Active,1,2,1001,Bandung Office,Permanent
1126,Novi Putri,Female,22,2003-10-16,Single,Bachelor,Bekasi,Jawa Barat,2023-01-10,Active,2,5,1002,Jakarta HQ,Permanent
1127,Putri Wijaya,Female,35,1990-12-04,Single,Bachelor,Bandung,Jawa Barat,2021-10-24,Active,7,10,1007,Bandung Office,Permanent
1128,Jihan Permana,Female,30,1995-06-22,Married,Bachelor,Jakarta,DKI Jakarta,2022-02-06,Active,4,7,1004,Jakarta HQ,Permanent
1129,Maya Hartono,Female,30,1995-09-10,Married,Bachelor,Surabaya,Jawa Timur,2023-06-03,Active,8,9,1008,Surabaya Office,Permanent
1130,Mario Hutapea,Male,47,1978-07-27,Single,Bachelor,Jakarta,DKI Jakarta,2017-08-21,Active,9,17,1009,Jakarta HQ,Permanent
1131,Sari Simanjuntak,Female,26,1999-03-04,Single,Diploma,Jakarta,DKI Jakarta,2024-06-30,Active,4,7,1004,Jakarta HQ,Permanent
1132,Leo Pratama,Male,28,1997-11-16,Single,Bachelor,Surabaya,Jawa Timur,2022-07-23,Active,4,7,1004,Surabaya Office,Permanent
1133,Larasati Wardhana,Female,24,2001-01-27,Single,High School,Jakarta,DKI Jakarta,2022-02-22,Active,1,1,1001,Jakarta HQ,Permanent
1134,Satria Hutapea,Male,50,1975-03-28,Married,Bachelor,Jakarta,DKI Jakarta,2014-03-10,Active,5,12,1005,Jakarta HQ,Permanent
1135,Mira Santoso,Female,35,1990-10-28,Single,Diploma,Bandung,Jawa Barat,2016-03-30,Active,1,3,1001,Remote,Permanent
1136,Edwin Setiawan,Male,31,1994-05-19,Single,Diploma,Jakarta,DKI Jakarta,2019-01-14,Active,2,6,1002,Jakarta HQ,Permanent
1137,Rina Rahmawati,Female,41,1984-10-08,Single,Bachelor,Bandung,Jawa Barat,2019-08-27,Active,3,3,1003,Bandung Office,Contract
1138,Yuliana Nasution,Female,23,2002-09-15,Married,Bachelor,Medan,Sumatera Utara,2023-09-24,Active,6,13,1006,Remote,Permanent
1139,Nanda Sinaga,Male,50,1975-02-17,Single,Bachelor,Bandung,Jawa Barat,2015-10-07,Active,1,4,1001,Bandung Office,Contract
1140,Adi Permana,Male,32,1993-01-14,Divorced,Bachelor,Bekasi,Jawa Barat,2017-10-02,Active,6,14,1006,Remote,Permanent
1141,Salsabila Wardhana,Female,31,1994-07-15,Married,Bachelor,Jakarta,DKI Jakarta,2018-04-24,Active,1,2,1001,Jakarta HQ,Permanent
1142,Oki Nugroho,Male,35,1990-05-15,Single,Bachelor,Bekasi,Jawa Barat,2014-04-01,Active,1,4,1001,Jakarta HQ,Contract
1143,Taufik Wardhana,Male,22,2003-04-07,Married,Bachelor,Bekasi,Jawa Barat,2025-09-11,Active,6,13,1006,Jakarta HQ,Permanent
1144,Dewi Maulana,Female,30,1995-05-08,Single,Diploma,Bekasi,Jawa Barat,2023-01-11,Active,4,7,1004,Jakarta HQ,Permanent
1145,Leo Sinaga,Male,35,1990-11-22,Married,Bachelor,Bandung,Jawa Barat,2016-01-24,Active,1,3,1001,Bandung Office,Permanent
1146,Lukman Hutapea,Male,29,1996-04-28,Single,Bachelor,Yogyakarta,DI Yogyakarta,2024-06-01,Active,4,7,1004,Remote,Permanent
1147,Nanda Sari,Male,36,1989-02-15,Single,Bachelor,Bekasi,Jawa Barat,2019-09-17,Resigned,4,8,1004,Jakarta HQ,Permanent
1148,Wisnu Putri,Male,26,1999-04-07,Single,Bachelor,Medan,Sumatera Utara,2024-03-01,Active,1,2,1001,Medan Office,Permanent
1149,Yoga Putri,Male,30,1995-06-17,Married,Master,Jakarta,DKI Jakarta,2021-03-09,Active,2,6,1002,Jakarta HQ,Permanent
1150,Bunga Kusuma,Female,30,1995-10-19,Married,Bachelor,Jakarta,DKI Jakarta,2022-06-04,Active,4,7,1004,Jakarta HQ,Permanent
1151,Hesti Tanjung,Female,44,1981-03-24,Married,Doctorate,Jakarta,DKI Jakarta,2017-08-09,Active,6,14,1006,Jakarta HQ,Contract
1152,Tania Anggraini,Female,22,2003-07-05,Single,Bachelor,Tangerang,Banten,2024-09-28,Active,4,7,1004,Remote,Permanent
1153,Bunga Nugroho,Female,48,1977-01-01,Married,Bachelor,Bekasi,Jawa Barat,2014-06-17,Active,5,12,1005,Jakarta HQ,Contract
1154,Putra Santoso,Male,30,1995-05-27,Married,Bachelor,Surabaya,Jawa Timur,2023-06-19,Active,1,1,1001,Remote,Permanent
1155,Salsabila Wijaya,Female,23,2002-07-13,Single,Master,Bandung,Jawa Barat,2022-01-24,Active,2,5,1002,Bandung Office,Permanent
1156,Citra Wibowo,Female,25,2000-12-19,Married,Bachelor,Jakarta,DKI Jakarta,2022-06-17,Active,2,5,1002,Remote,Permanent
1157,Nanda Sinaga,Male,39,1986-12-27,Married,Bachelor,Jakarta,DKI Jakarta,2016-09-25,Active,9,17,1009,Jakarta HQ,Permanent
1158,Winda Handayani,Female,34,1991-12-12,Married,Master,Bandung,Jawa Barat,2024-09-12,Active,3,2,1003,Bandung Office,Permanent
1159,Erika Tanjung,Female,29,1996-06-18,Married,Bachelor,Jakarta,DKI Jakarta,2021-03-26,Active,7,10,1007,Jakarta HQ,Permanent
1160,Reza Susilo,Male,42,1983-06-12,Single,Diploma,Jakarta,DKI Jakarta,2021-09-17,Active,1,3,1001,Jakarta HQ,Permanent
1161,Farhan Pangestu,Male,34,1991-02-20,Married,Bachelor,Yogyakarta,DI Yogyakarta,2015-05-22,Active,4,8,1004,Remote,Permanent
1162,Kirana Mahendra,Female,35,1990-03-09,Single,Bachelor,Bandung,Jawa Barat,2018-06-19,Active,10,18,1010,Remote,Permanent
1163,Hesti Nasution,Female,25,2000-08-04,Single,Master,Jakarta,DKI Jakarta,2024-05-30,Active,2,5,1002,Jakarta HQ,Permanent
1164,Oka Santoso,Male,29,1996-06-06,Married,Bachelor,Jakarta,DKI Jakarta,2022-05-23,Active,4,7,1004,Jakarta HQ,Permanent
1165,Mario Santoso,Male,35,1990-09-06,Single,Bachelor,Makassar,Sulawesi Selatan,2016-10-21,Active,7,10,1007,Jakarta HQ,Permanent
1166,Indah Putri,Female,29,1996-05-22,Married,Bachelor,Surabaya,Jawa Timur,2023-03-31,Active,7,10,1007,Remote,Permanent
1167,Zaki Hutapea,Male,37,1988-02-25,Married,Bachelor,Jakarta,DKI Jakarta,2019-05-06,Active,9,17,1009,Jakarta HQ,Intern
1168,Gilang Kusuma,Male,29,1996-09-24,Single,Bachelor,Bekasi,Jawa Barat,2020-01-22,Active,2,6,1002,Jakarta HQ,Permanent
1169,Gladys Ramadhan,Female,30,1995-07-03,Married,Bachelor,Jakarta,DKI Jakarta,2024-08-21,Active,4,8,1004,Jakarta HQ,Permanent
1170,Umar Wijaya,Male,33,1992-01-28,Single,Diploma,Tangerang,Banten,2017-09-09,Active,6,14,1006,Remote,Permanent
1171,Bambang Hakim,Male,28,1997-11-22,Married,Bachelor,Jakarta,DKI Jakarta,2021-04-14,Active,4,8,1004,Jakarta HQ,Permanent
1172,Karina Hakim,Female,27,1998-06-07,Married,Bachelor,Jakarta,DKI Jakarta,2022-09-05,Active,1,1,1001,Jakarta HQ,Permanent
1173,Faisal Harahap,Male,28,1997-11-23,Single,Bachelor,Tangerang,Banten,2022-09-20,Active,4,8,1004,Jakarta HQ,Permanent
1174,Dinda Hakim,Female,33,1992-11-18,Married,Bachelor,Jakarta,DKI Jakarta,2022-01-22,Active,3,2,1003,Jakarta HQ,Contract
1175,Anto Simanjuntak,Male,50,1975-07-22,Married,Bachelor,Surabaya,Jawa Timur,2015-04-06,Active,9,17,1009,Surabaya Office,Permanent
1176,Kurnia Salim,Male,35,1990-12-25,Married,Doctorate,Bandung,Jawa Barat,2017-01-26,Active,1,2,1001,Bandung Office,Permanent
1177,Doni Ramadhan,Male,37,1988-05-28,Married,Diploma,Jakarta,DKI Jakarta,2022-03-17,Resigned,6,14,1006,Jakarta HQ,Contract
1178,Pertiwi Sutanto,Female,35,1990-10-05,Married,Diploma,Semarang,Jawa Tengah,2019-07-21,Active,1,3,1001,Jakarta HQ,Intern
1179,Ika Ramadhan,Female,28,1997-07-02,Single,Bachelor,Tangerang,Banten,2022-08-30,Active,2,6,1002,Remote,Contract
1180,Sari Wardhana,Female,32,1993-08-03,Single,Master,Bandung,Jawa Barat,2023-04-10,Active,3,2,1003,Bandung Office,Permanent
1181,Farah Pangestu,Female,23,2002-09-13,Single,Bachelor,Semarang,Jawa Tengah,2024-03-27,Active,1,1,1001,Jakarta HQ,Permanent
